track_id,region,entry_time,exit_time,duration_seconds
2,Entrance Zone,2026-09-10 05:36:18,2026-09-10 05:36:19,1.5
1,exit zone,2026-09-10 05:36:18,2026-09-10 05:36:20,1.8
6,Entrance Zone,2026-09-10 05:36:20,2026-09-10 05:36:23,3.0
8,Entrance Zone,2026-09-10 05:36:21,2026-09-10 05:36:24,3.0
18,Entrance Zone,2026-09-10 05:36:23,2026-09-10 05:36:25,2.6
21,exit zone,2026-09-10 05:36:24,2026-09-10 05:36:24,0.1
21,exit zone,2026-09-10 05:36:24,2026-09-10 05:36:24,0.1
21,exit zone,2026-09-10 05:36:25,2026-09-10 05:36:28,2.7
28,Entrance Zone,2026-09-10 05:36:30,2026-09-10 05:36:31,0.8
27,Entrance Zone,2026-09-10 05:36:30,2026-09-10 05:36:32,2.1
29,Entrance Zone,2026-09-10 05:36:32,2026-09-10 05:36:34,2.0
28,exit zone,2026-09-10 05:36:34,2026-09-10 05:36:35,1.0
31,Entrance Zone,2026-09-10 05:36:35,2026-09-10 05:36:38,2.8
29,exit zone,2026-09-10 05:36:36,2026-09-10 05:36:38,2.3
24,Entrance Zone,2026-09-10 05:36:36,2026-09-10 05:36:41,5.0
42,Entrance Zone,2026-09-10 05:36:41,2026-09-10 05:36:41,0.7
45,Entrance Zone,2026-09-10 05:36:42,2026-09-10 05:36:44,2.8
24,exit zone,2026-09-10 05:36:43,2026-09-10 05:36:47,3.9
45,exit zone,2026-09-10 05:36:47,2026-09-10 05:36:52,5.4
18,exit zone,2026-09-10 05:36:49,2026-09-10 05:36:49,0.1
18,exit zone,2026-09-10 05:36:50,2026-09-10 05:36:51,1.4
42,exit zone,2026-09-10 05:36:50,2026-09-10 05:36:53,2.9
8,Entrance Zone,2026-09-10 05:36:52,2026-09-10 05:36:53,1.2
6,Entrance Zone,2026-09-10 05:36:52,2026-09-10 05:36:54,2.0
57,exit zone,2026-09-10 05:36:54,2026-09-10 05:37:04,9.8
18,Entrance Zone,2026-09-10 05:36:55,2026-09-10 05:36:56,1.5
45,Entrance Zone,2026-09-10 05:36:55,2026-09-10 05:36:58,2.6
63,Entrance Zone,2026-09-10 05:37:01,2026-09-10 05:37:04,3.1
62,Entrance Zone,2026-09-10 05:37:04,2026-09-10 05:37:06,2.1
65,Entrance Zone,2026-09-10 05:37:05,2026-09-10 05:37:08,2.6
62,Entrance Zone,2026-09-10 05:37:06,2026-09-10 05:37:08,2.0
57,Entrance Zone,2026-09-10 05:37:07,2026-09-10 05:37:09,2.1
63,exit zone,2026-09-10 05:37:07,2026-09-10 05:37:11,4.1
65,Entrance Zone,2026-09-10 05:37:08,2026-09-10 05:37:08,0.1
65,Entrance Zone,2026-09-10 05:37:08,2026-09-10 05:37:10,1.8
62,Entrance Zone,2026-09-10 05:37:09,2026-09-10 05:37:22,13.3
68,Entrance Zone,2026-09-10 05:37:10,2026-09-10 05:37:10,0.9
85,Entrance Zone,2026-09-10 05:37:16,2026-09-10 05:37:18,1.9
68,Entrance Zone,2026-09-10 05:37:18,2026-09-10 05:37:18,0.6
69,Entrance Zone,2026-09-10 05:37:19,2026-09-10 05:37:23,4.0
92,Entrance Zone,2026-09-10 05:37:24,2026-09-10 05:37:26,1.5
65,exit zone,2026-09-10 05:37:27,2026-09-10 05:37:27,0.5
65,exit zone,2026-09-10 05:37:27,2026-09-10 05:37:28,0.4
92,exit zone,2026-09-10 05:37:27,2026-09-10 05:37:29,2.0
85,exit zone,2026-09-10 05:37:28,2026-09-10 05:37:29,0.7
96,Entrance Zone,2026-09-10 05:37:28,2026-09-10 05:37:29,1.4
85,exit zone,2026-09-10 05:37:29,2026-09-10 05:37:32,3.3
69,exit zone,2026-09-10 05:37:30,2026-09-10 05:37:30,0.5
69,exit zone,2026-09-10 05:37:31,2026-09-10 05:37:33,2.7
65,Entrance Zone,2026-09-10 05:37:31,2026-09-10 05:37:34,3.6
82,exit zone,2026-09-10 05:37:33,2026-09-10 05:37:34,1.1
96,exit zone,2026-09-10 05:37:33,2026-09-10 05:37:36,3.0
69,exit zone,2026-09-10 05:37:34,2026-09-10 05:37:34,0.1
82,exit zone,2026-09-10 05:37:34,2026-09-10 05:37:35,0.5
82,exit zone,2026-09-10 05:37:35,2026-09-10 05:37:36,0.8
85,Entrance Zone,2026-09-10 05:37:35,2026-09-10 05:37:37,2.5
102,exit zone,2026-09-10 05:37:35,2026-09-10 05:37:37,1.9
82,exit zone,2026-09-10 05:37:36,2026-09-10 05:37:37,0.6
65,Entrance Zone,2026-09-10 05:37:36,2026-09-10 05:37:37,1.3
